nom_fichier,time,value,sol,obj_bound,gap
                              ,0.0,                              ,                                                                                                                                                                                                        ,0,0
10_ulysses_3.tsp,119.00099992752075,140.54479 / 136.99528,"[5, 9][10, 2, 1, 3][7, 8, 6, 4]",None,None
10_ulysses_6.tsp,119.01100015640259,66.037468 / 55.119391,"[5][10][3, 2][9, 6][1, 8, 4][7]",None,None
10_ulysses_9.tsp,119.00099992752075,33.291898 / 33.291898,"[5][10][7][9][2, 3][8][6][1][4]",None,None
14_burma_3.tsp,119.00200009346008,120.06609 / 116.90207,"[7, 4, 5, 8, 14, 6][2, 9, 11, 10][12, 3, 13, 1]",None,None
14_burma_6.tsp,119.00100016593933,56.52842 / 42.740624,"[7][2, 13][12, 14, 6][9, 10][1, 8, 11][4, 3, 5]",None,None
14_burma_9.tsp,119.00100016593933,34.365277 / 20.762439,"[7][8, 1][13, 14][10][5][6, 12][2][4, 3][9, 11]",None,None
22_ulysses_3.tsp,119.00200009346008,611.11393 / 426.89163,"[7, 10, 5, 12, 11, 6, 9][17, 3, 2, 8, 4, 14, 16, 22][13, 18, 20, 1, 21, 19, 15]",None,None
22_ulysses_6.tsp,119.7300000190735,185.71962 / 139.22878,"[5, 7, 6][20, 21, 10][9, 11, 14][17, 3, 16, 22][13, 12, 19, 15][18, 1, 2, 8, 4]",None,None
22_ulysses_9.tsp,119.00300002098083,121.84141 / 95.642134,"[2, 21][4, 18, 8][9, 5][3, 15][14, 12, 6][17, 22, 16][7, 1][11, 10][20, 19, 13]",None,None
26_eil_3.tsp,119.00200009346008,3300.0705 / 2934.7176,"[23, 13, 8, 25, 19, 24, 14, 15][2, 9, 21, 5, 17, 16, 4, 10][6, 3, 1, 22, 20, 11, 26, 18, 7, 12]",None,None
26_eil_6.tsp,119.02999997138977,1504.4338 / 1103.0992,"[17, 15, 5, 4][18, 6, 25, 1][12, 14, 13, 19][20, 21, 16, 2, 3][23, 10, 9, 11][24, 7, 8, 22, 26]",None,None
26_eil_9.tsp,119.05900001525879,1100.5689 / 818.32357,"[4, 7][18, 9][19, 10, 15][2, 3, 1][23, 22, 6][24, 8, 26][12, 13, 17][5, 14, 25][21, 16, 11, 20]",None,None
