nom_fichier,time,value,sol,obj_bound,gap
                              ,0.0,                              ,                                                                                                                                                                                                        ,0,0
10_ulysses_3.tsp,29.000999927520752,140.54479 / 136.99528,"[5, 9][10, 2, 1, 3][7, 8, 6, 4]",None,None
10_ulysses_6.tsp,29.00100016593933,66.037468 / 55.119391,"[5][10][7][9, 6][2, 3][8, 1, 4]",None,None
10_ulysses_9.tsp,29.00100016593933,33.291898 / 33.291898,"[5][10][7][9][2, 3][8][6][1][4]",None,None
14_burma_3.tsp,29.01699995994568,120.06609 / 116.90207,"[7, 4, 5, 8, 14, 6][2, 9, 11, 10][12, 3, 13, 1]",None,None
14_burma_6.tsp,29.000999927520752,56.52842 / 42.740624,"[7][2, 13][12, 14, 6][1, 11, 8][10, 9][4, 3, 5]",None,None
14_burma_9.tsp,29.000999927520752,34.365277 / 20.762439,"[7][11, 9][8, 1][13, 14][12, 6][5][10][4, 3][2]",None,None
22_ulysses_3.tsp,29.000999927520752,611.11393 / 445.92591,"[7, 5, 11, 10, 6, 9, 12][8, 17, 3, 16, 15, 4, 2][13, 20, 1, 14, 19, 21, 22, 18]",None,None
22_ulysses_6.tsp,29.000999927520752,185.71962 / 150.89245,"[21, 19, 1][7, 6, 5, 20][9, 11][8, 3, 4, 22, 18][15, 10, 12, 14][16, 13, 17, 2]",None,None
22_ulysses_9.tsp,29.0479998588562,121.84141 / 91.820815,"[7, 1][2, 21][22, 16, 17][5, 11][15, 14, 12][4, 18, 8][9, 3][10, 6][20, 19, 13]",None,None
26_eil_3.tsp,29.003999948501587,3300.0705 / 2937.2667,"[23, 26, 7, 8, 18, 24, 1, 3][2, 9, 21, 5, 4, 10, 11, 20][19, 6, 25, 14, 22, 13, 12, 17, 15, 16]",None,None
26_eil_6.tsp,29.000999927520752,1504.4338 / 1037.622,"[4, 17, 5, 10][13, 19, 15, 14][16, 20, 21, 9, 11][1, 22, 26, 2, 3][18, 12, 6, 25][8, 23, 7, 24]",None,None
26_eil_9.tsp,29.000999927520752,1100.5689 / 762.82048,"[4, 25][18, 13][8, 24, 26][3, 1, 2][23, 22, 7][10, 9, 15][12, 19, 17][6, 14, 5][21, 11, 16, 20]",None,None
100_kroA_3.tsp,29.032000064849854,2.4865755e6 / 2.0676393e6,"[71, 25, 77, 92, 93, 67, 89, 6, 80, 69, 73, 35, 63, 85, 1, 95, 8, 74, 81, 75, 7, 2, 39, 57, 51, 20, 58, 37, 12, 54, 76, 31, 43, 56][10, 91, 16, 90, 53, 66, 36, 19, 88, 28, 11, 22, 70, 18, 42, 26, 4...",None,None
100_kroA_6.tsp,29.01099991798401,1.1491333e6 / 949110.52,"[71, 91, 99, 24, 88, 35, 22, 62, 86, 94, 74, 90, 38, 77][96, 3, 30, 68, 13, 48, 33, 5, 82, 76, 95, 52, 37, 14, 39, 34, 2][41, 27, 100, 23, 46, 50, 44, 45, 63, 83, 40, 75, 60, 55][10, 84, 66, 89, 65...",None,None
100_kroA_9.tsp,29.062000036239624,683073.0 / 572233.52,"[71, 100, 55, 64, 87, 95, 27][96, 3, 29, 83, 43, 48, 12, 57, 44, 86, 82, 46][41, 7, 34, 51, 9, 81, 35, 52, 78, 20, 5, 33, 61][10, 84, 38, 36, 99, 24, 28, 11, 32, 15, 72, 45, 59][68, 2, 13, 76, 30, ...",None,None
202_gr_3.tsp,29.256999969482422,88428.673 / 83045.375,"[181, 169, 35, 158, 159, 84, 83, 85, 125, 179, 187, 197, 80, 195, 152, 149, 87, 164, 91, 185, 193, 180, 166, 86, 161, 92, 165, 97, 114, 175, 172, 121, 162, 184, 176, 182, 167, 156, 189, 202, 188, 1...",None,None
202_gr_6.tsp,29.092000007629395,42755.16 / 38965.68,"[181, 39, 177, 98, 187, 197, 133, 149, 136, 185, 193, 126, 148, 175, 107, 184, 176, 167, 189, 188, 132, 186, 134, 191, 198, 192, 190, 135, 147, 173, 160, 170][93, 2, 4, 85, 71, 3, 31, 14, 17, 70, 1...",None,None
202_gr_9.tsp,29.019999980926514,29285.586 / 28757.256,"[181, 197, 152, 139, 154, 148, 138, 121, 182, 202, 191, 198, 192, 153, 155, 199, 200, 115, 173, 46, 190, 184, 141][93, 177, 187, 195, 136, 193, 180, 24, 175, 176, 189, 132, 134, 194, 174, 196, 147,...",None,None
30_eil_3.tsp,29.000999927520752,4168.7894 / 3358.7788,"[3, 2, 21, 27, 30, 28, 29, 5, 6, 4][16, 23, 12, 24, 1, 26, 17, 22, 18, 25][10, 11, 9, 19, 7, 14, 20, 8, 13, 15]",None,None
