nom_fichier,time,value,sol,obj_bound,gap
                              ,0.0,                              ,                                                                                                                                                                                                        ,0.0,0.0
10_ulysses_3.tsp,0.15400004386901855,136.99527629589417,"[1, 2, 3, 10][5, 9][4, 6, 7, 8]",136.9952762958942,0.0
10_ulysses_6.tsp,0.372999906539917,55.119391243226886,"[1, 4, 8][5][2, 3][7][10][6, 9]",55.119391243226886,0.0
10_ulysses_9.tsp,1.4059998989105225,33.29189782877749,"[1][8][2, 3][4][5][6][9][10][7]",33.29189782877749,0.0
14_burma_3.tsp,0.25,93.3899872599682,"[1, 8, 9, 10, 11][2, 12, 13, 14][3, 4, 5, 6, 7]",93.3899872599682,0.0
14_burma_6.tsp,0.5889999866485596,42.74062354260174,"[1, 8, 11][6, 12, 14][9, 10][7][2, 13][3, 4, 5]",42.74046609283397,3.6838434893709207e-6
14_burma_9.tsp,30.06599998474121,20.762438566071065,"[1, 8][13, 14][6, 12][9, 11][5][2][10][3, 4][7]",0.0,0.9999999999951837
22_ulysses_3.tsp,10.24400019645691,358.6368286225183,"[1, 2, 3, 4, 8, 16, 17, 18][5, 6, 9, 11, 15, 21][7, 10, 12, 13, 14, 19, 20, 22]",358.6368286225183,0.0
22_ulysses_6.tsp,30.085999965667725,122.68553620183468,"[1, 8, 16, 22][7, 11][5, 14, 15, 19][6, 9, 13][10, 12, 20, 21][2, 3, 4, 17, 18]",49.54660767702701,0.5961495608123226
22_ulysses_9.tsp,30.157999992370605,93.34566117613308,"[1, 8, 22][3, 15][12, 13, 16][2, 21][4, 17, 18][11, 19][9, 20][6, 10][5, 7, 14]",0.0,0.9999999999989287
26_eil_3.tsp,30.088000059127808,2812.6019375085593,"[1, 2, 3, 5, 7, 8, 20, 22, 23, 26][4, 6, 13, 15, 19, 24, 25][9, 10, 11, 12, 14, 16, 17, 18, 21]",1401.5113525652462,0.5017029129238338
26_eil_6.tsp,30.121000051498413,1410.5924863735117,"[1, 14, 18, 24][4, 23, 25][11, 12, 19, 21][2, 7, 8, 22, 26][5, 9, 10, 15, 17][3, 6, 13, 16, 20]",189.484643498695,0.8656701738246692
26_eil_9.tsp,30.164000034332275,1189.8592023574902,"[1, 12, 18][2, 24][9, 21, 22][19, 23][3, 5, 8, 10][11, 15, 20, 25][13, 16, 26][6, 7, 14][4, 17]",0.0,0.999999999999916
