nom_fichier,time,value,sol,obj_bound,gap
                              ,0.0,                              ,                                                                                                                                                                                                        ,0,0
10_ulysses_3.tsp,29.000999927520752,140.54479 / 136.99528,"[5, 9][10, 2, 1, 3][7, 8, 6, 4]",None,None
10_ulysses_6.tsp,29.015999794006348,66.037468 / 55.119391,"[5][10][7][9, 6][2, 3][8, 1, 4]",None,None
10_ulysses_9.tsp,29.00100016593933,33.291898 / 33.291898,"[5][10][7][9][2, 3][8][6][1][4]",None,None
14_burma_3.tsp,29.000999927520752,120.06609 / 116.90207,"[7, 4, 5, 8, 14, 6][2, 9, 11, 10][12, 3, 13, 1]",None,None
14_burma_6.tsp,29.000999927520752,56.52842 / 43.31407,"[7][2, 8][12, 14, 6][1, 11, 9][10, 13][4, 3, 5]",None,None
14_burma_9.tsp,29.00100016593933,34.365277 / 20.762439,"[7][11, 9][12, 6][1, 8][10][13, 14][2][4, 3][5]",None,None
22_ulysses_3.tsp,29.000999927520752,611.11393 / 523.21036,"[10, 22, 11, 6, 5, 12, 19, 9][8, 17, 3, 2, 16, 7][13, 20, 1, 14, 21, 18, 4, 15]",None,None
22_ulysses_6.tsp,29.003000020980835,185.71962 / 129.77444,"[21, 20, 10][7, 6, 5][9, 11, 14][8, 22, 4, 18, 17][15, 12, 13, 19][16, 1, 2, 3]",None,None
22_ulysses_9.tsp,29.000999927520752,121.84141 / 91.820815,"[5, 11][7, 1][9, 3][8, 18, 4][14, 12, 15][22, 16, 17][2, 21][20, 19, 13][10, 6]",None,None
26_eil_3.tsp,29.000999927520752,3300.0705 / 2340.2912,"[13, 8, 14, 24, 6, 7, 23, 26][17, 15, 19, 12, 4, 18, 25, 10][22, 20, 2, 3, 11, 21, 5, 9, 16, 1]",None,None
26_eil_6.tsp,29.000999927520752,1504.4338 / 1192.3327,"[4, 9, 17, 16][18, 13, 6][19, 15, 12, 10, 5][2, 11, 3, 21][7, 25, 24, 14][8, 22, 1, 23, 26, 20]",None,None
26_eil_9.tsp,29.000999927520752,1100.5689 / 756.32587,"[4, 17][13, 19][8, 24, 26][1, 2, 3][23, 22, 7][16, 11, 21, 20][6, 14, 25][15, 12, 18][10, 9, 5]",None,None
