nom_fichier,time,value,sol,obj_bound,gap
                              ,0.0,                              ,                                                                                                                                                                                                        ,0,0
10_ulysses_3.tsp,29.001,140.54479 / 136.99528,"[5, 9][10, 2, 1, 3][7, 8, 6, 4]",None,None
10_ulysses_6.tsp,29.00100016593933,66.037468 / 55.119391,"[5][10][7][9, 6][2, 3][8, 1, 4]",None,None
10_ulysses_9.tsp,29.02999997138977,33.291898 / 33.291898,"[5][10][7][9][2, 3][8][6][1][4]",None,None
14_burma_3.tsp,29.000999927520752,120.06609 / 116.90207,"[7, 4, 5, 8, 14, 6][2, 9, 11, 10][12, 3, 13, 1]",None,None
14_burma_6.tsp,29.000999927520752,56.52842 / 43.31407,"[7][2, 8][12, 14, 6][1, 9, 11][10, 13][4, 3, 5]",None,None
14_burma_9.tsp,29.002000093460083,34.365277 / 20.762439,"[7][11, 9][12, 6][1, 8][10][3, 4][2][13, 14][5]",None,None
22_ulysses_3.tsp,29.00100016593933,611.11393 / 531.84219,"[16, 4, 22, 17, 21, 8, 19][3, 5, 11, 10, 7, 20, 9][13, 12, 1, 14, 18, 2, 6, 15]",None,None
22_ulysses_6.tsp,29.001999855041504,185.71962 / 165.67064,"[21, 1, 16][7, 6, 5][9, 11, 2][8, 4, 22, 17, 18][15, 13, 12, 14, 20][10, 3, 19]",None,None
22_ulysses_9.tsp,29.000999927520752,121.84141 / 64.973592,"[13, 7][20, 21][14, 15, 12][3, 2, 17][5, 9][16, 22, 1][8, 4, 18][19, 11][10, 6]",None,None
26_eil_3.tsp,29.000999927520752,3300.0705 / 2906.3461,"[4, 23, 26, 7, 8, 24, 22, 6][2, 9, 21, 5, 11, 3, 20, 18][25, 12, 13, 17, 10, 15, 16, 19, 1, 14]",None,None
26_eil_6.tsp,29.003999948501587,1504.4338 / 1110.5156,"[4, 15, 10, 5][13, 19, 12, 17][20, 22, 3, 26, 24][14, 25, 11, 18][21, 2, 16, 9][7, 8, 1, 23, 6]",None,None
26_eil_9.tsp,29.00100016593933,1100.5689 / 812.32489,"[20, 3, 4][18, 13][19, 12, 14][2, 16, 11][23, 22, 6][8, 26, 7][1, 25, 24][15, 9, 17][21, 5, 10]",None,None
