nom_fichier,time,value,sol,obj_bound,gap
                              ,0.0,                              ,                              ,0,0
100_kroA_3.tsp,29.01199984550476,2.4865754962e6 / 2.0191641228e6,"[71, 40, 94, 98, 92, 93, 79...",None,None
100_kroA_6.tsp,29.030999898910522,1.1491332684e6 / 952716.5199,"[71, 91, 98, 73, 35, 74, 23...",None,None
100_kroA_9.tsp,29.051000118255615,683073.0031 / 564329.9075,"[71, 25, 46, 59, 34, 55, 29...",None,None
10_ulysses_3.tsp,29.039999961853027,140.5448 / 136.9953,"[5, 9][10, 2, 1, 3][7, 8, 6...",None,None
10_ulysses_6.tsp,29.000999927520752,66.0375 / 55.1194,"[5][10][7][9, 6][2, 3][8, 1...",None,None
10_ulysses_9.tsp,29.00100016593933,33.2919 / 33.2919,"[5][10][7][9][2, 3][8][6][1...",None,None
14_burma_3.tsp,29.000999927520752,120.0661 / 116.9021,"[7, 4, 5, 8, 14, 6][2, 9, 1...",None,None
14_burma_6.tsp,29.000999927520752,56.5284 / 43.1295,"[7][2, 8][12, 6, 13][1, 9, ...",None,None
14_burma_9.tsp,29.000999927520752,34.3653 / 20.7624,"[7][11, 9][12, 6][14, 13][2...",None,None
202_gr_3.tsp,29.16200017929077,88428.673 / 85823.3338,"[181, 169, 158, 159, 84, 83...",None,None
202_gr_6.tsp,29.115000009536743,42755.1602 / 40370.8459,"[181, 39, 177, 98, 187, 197...",None,None
202_gr_9.tsp,29.247999906539917,29285.586 / 27057.6787,"[181, 159, 98, 197, 152, 13...",None,None
22_ulysses_3.tsp,29.02300000190735,611.1139 / 536.6424,"[7, 14, 10, 11, 9, 4, 22][2...",None,None
22_ulysses_6.tsp,29.000999927520752,185.7196 / 132.6357,"[21, 11][7, 6, 5, 20][9, 14...",None,None
22_ulysses_9.tsp,29.000999927520752,121.8414 / 91.8208,"[11, 5][13, 20, 19][9, 3][1...",None,None
26_eil_3.tsp,29.000999927520752,3300.0705 / 2798.0291,"[13, 25, 18, 14, 19, 6, 17,...",None,None
26_eil_6.tsp,29.000999927520752,1504.4338 / 1151.5283,"[9, 20, 10, 18, 16][5, 17, ...",None,None
26_eil_9.tsp,29.00100016593933,1100.5689 / 812.3249,"[4, 20, 3][18, 13][8, 26, 7...",None,None
30_eil_3.tsp,29.000999927520752,4168.7894 / 3358.7788,"[3, 2, 21, 27, 28, 6, 30, 5...",None,None
30_eil_6.tsp,29.00100016593933,1641.5449 / 1451.5468,"[3, 12, 9][2, 17, 4, 26, 6,...",None,None
30_eil_9.tsp,29.000999927520752,1108.4111 / 808.6163,"[3, 21][6, 4, 27, 30][24, 2...",None,None
318_lin_3.tsp,29.246999979019165,3.0096253313e7 / 2.9468034057e7,"[217, 9, 261, 157, 273, 52,...",None,None
318_lin_6.tsp,29.646000146865845,1.4078426246e7 / 1.39988549e7,"[217, 261, 273, 230, 268, 2...",None,None
318_lin_9.tsp,29.48900008201599,8.365114105e6 / 8.350554267e6,"[217, 273, 282, 255, 225, 2...",None,None
400_rd_3.tsp,29.242000102996826,1.036858307e7 / 1.036858307e7,"[249, 178, 301, 397, 56, 31...",None,None
400_rd_6.tsp,30.380000114440918,4.215208819e6 / 4.213273659e6,"[249, 400, 348, 167, 278, 1...",None,None
400_rd_9.tsp,29.430999994277954,3.007306539e6 / 2.998634845e6,"[249, 148, 322, 250, 40, 18...",None,None
532_att_3.tsp,31.32799983024597,1.2817733074e8 / 1.2806217564e8,"[12, 394, 62, 222, 176, 122...",None,None
532_att_6.tsp,29.80900001525879,5.12207162e7 / 5.120306943e7,"[12, 14, 13, 50, 3, 58, 144...",None,None
532_att_9.tsp,30.861000061035156,2.396545131e7 / 2.396545131e7,"[12, 13, 3, 118, 58, 35, 15...",None,None
