nom_fichier,time,value,sol,obj_bound,gap
                              ,0.0,                              ,                                                                                                                                                                                                        ,0,0
10_ulysses_3.tsp,299.00100016593933,140.54479 / 136.99528,"[5, 9][10, 2, 1, 3][7, 8, 6, 4]",None,None
10_ulysses_6.tsp,299.00099992752075,66.037468 / 55.119391,"[5][10][7][9, 6][2, 3][8, 1, 4]",None,None
10_ulysses_9.tsp,299.00099992752075,33.291898 / 33.291898,"[5][10][7][9][2, 3][8][6][1][4]",None,None
14_burma_3.tsp,299.00100016593933,120.06609 / 116.90207,"[7, 4, 5, 8, 14, 6][2, 9, 11, 10][12, 3, 13, 1]",None,None
14_burma_6.tsp,299.00100016593933,56.52842 / 42.740624,"[7][2, 13][12, 14, 6][1, 8, 11][10, 9][4, 3, 5]",None,None
14_burma_9.tsp,546.9389998912811,34.365277 / 21.644086,"[7][10][4][1, 8][12, 6][3, 14][11, 9][13, 2][5]",None,None
22_ulysses_3.tsp,299.00300002098083,611.11393 / 445.92591,"[7, 10, 12, 11, 5, 9, 6][8, 17, 3, 16, 2, 15, 4][13, 18, 20, 14, 21, 1, 19, 22]",None,None
22_ulysses_6.tsp,299.0020000934601,185.71962 / 132.63568,"[21, 11][7, 6, 5, 20][9, 14, 10][8, 18, 17, 4, 22][15, 13, 12, 19][16, 2, 3, 1]",None,None
22_ulysses_9.tsp,299.00300002098083,121.84141 / 91.820815,"[1, 7][6, 10][11, 5][2, 21][15, 14, 12][4, 18, 8][3, 9][19, 20, 13][17, 22, 16]",None,None
26_eil_3.tsp,299.00099992752075,3300.0705 / 2656.0587,"[13, 19, 14, 12, 17, 1, 15, 10, 4][2, 9, 21, 5, 16, 11, 20, 18, 22][24, 6, 25, 23, 26, 7, 8, 3]",None,None
26_eil_6.tsp,299.00099992752075,1504.4338 / 1147.2054,"[25, 14, 18, 12][9, 21, 4][6, 20, 23, 3, 1][2, 16, 11, 5, 10][15, 19, 13, 17][24, 7, 8, 22, 26]",None,None
26_eil_9.tsp,299.00099992752075,1100.5689 / 841.42067,"[4, 25][18, 9][24, 1, 14][2, 3, 16][26, 7, 8, 20][6, 23, 22][12, 19, 17][5, 15, 13][21, 11, 10]",None,None
