nom_fichier,time,value,sol,obj_bound,gap
                              ,0.0,                              ,                                                                                                                                                                                                        ,0.0,0.0
10_ulysses_3.tsp,1.673,136.99527629589417,"[5, 9][1, 2, 3, 10][4, 6, 7, 8]",136.99420807981383,7.797466520183073e-6
10_ulysses_6.tsp,15.303,55.11939124322688,"[10][6, 9][5][2, 3][1, 4, 8][7]",55.11442110891486,9.017034114322455e-5
10_ulysses_9.tsp,5.81,33.29189782877749,"[6][5][9][7][1][2, 3][8][4][10]",33.29189782877749,0.0
14_burma_3.tsp,2.8989999294281006,93.38998725996821,"[3, 4, 5, 6, 7][1, 8, 9, 10, 11][2, 12, 13, 14]",93.38998725996821,0.0
14_burma_6.tsp,30.016000032424927,42.740623542601746,"[7][6, 12, 14][2, 13][3, 4, 5][9, 10][1, 8, 11]",0.0,0.9999999999976603
14_burma_9.tsp,30.032000064849854,20.762438566071065,"[3, 4][9, 11][10][1, 8][7][5][13, 14][6, 12][2]",0.0,0.9999999999951837
22_ulysses_3.tsp,30.013000011444092,414.58990456431127,"[5, 6, 7, 13, 14, 15, 18][1, 2, 3, 4, 8, 16, 17, 20, 22][9, 10, 11, 12, 19, 21]",180.51275640108122,0.5645992475604613
22_ulysses_6.tsp,30.03500008583069,209.6311167894915,"[3, 7, 18][5, 10, 14, 16][1, 4, 17, 21, 22][6, 12, 19, 20][9, 11, 13][2, 8, 15]",0.0,0.999999999999523
26_eil_3.tsp,30.021000146865845,3437.938430824248,"[3, 10, 13, 14, 17, 20, 23, 25, 26][2, 5, 9, 15, 19, 21, 24][1, 4, 6, 7, 8, 11, 12, 16, 18, 22]",414.5624937809889,0.8794153815949272
26_eil_6.tsp,30.063999891281128,1485.7858771055776,"[4, 13, 19][2, 5, 6, 10, 20][1, 14, 15, 16, 17, 25][3, 11, 12, 22, 23][7, 8, 24, 26][9, 18, 21]",0.0,0.9999999999999327
26_eil_9.tsp,30.045000076293945,1006.5109586516216,"[3, 8, 18][22, 23, 25][5, 14, 17][1, 4, 15][6, 12, 13][10, 11, 21][2, 7, 20][19, 24][9, 16, 26]",0.0,0.9999999999999006
