nom_fichier,time,value,sol,obj_bound,gap
10_ulysses_3.tsp,0.09100008010864258,136.99527629589417,"[5, 9][10, 2, 1, 3][7, 8, 6...",None,None
10_ulysses_6.tsp,0.1830000877380371,60.35472526059583,"[5][10][7][9, 6][2, 1, 3][8...",None,None
10_ulysses_9.tsp,0.32200002670288086,33.29189782877749,"[5][10][7][9][2, 3][8][6][1...",None,None
14_burma_3.tsp,0.13499999046325684,116.90207218057553,"[7, 4, 5, 8, 14, 6][2, 9, 1...",None,None
14_burma_6.tsp,0.2969999313354492,42.74062354260174,"[7][2, 13][12, 14, 6][9, 10...",None,None
14_burma_9.tsp,0.5099999904632568,23.623813656855436,"[7][1, 8][9, 11][2][3][12, ...",None,None
22_ulysses_3.tsp,0.24100017547607422,579.1909384843357,"[7, 15, 4, 22, 17, 11, 8][2...",None,None
22_ulysses_6.tsp,0.5450000762939453,178.7543505205391,"[21, 10, 2][7, 6, 5, 20][9,...",None,None
100_kroA_3.tsp,11.797999858856201,2.2707104361866536e6,"[71, 40, 25, 3, 77, 92, 93,...",None,None
100_kroA_6.tsp,12.993000030517578,1.0153736478720678e6,"[71, 91, 98, 67, 99, 24, 88...",None,None
100_kroA_9.tsp,10.141999959945679,619489.7006224786,"[71, 100, 55, 30, 64, 51, 4...",None,None
202_gr_3.tsp,77.7810001373291,85704.62380096987,"[181, 169, 158, 159, 83, 85...",None,None
202_gr_9.tsp,59.3289999961853,27431.952049805175,"[181, 98, 197, 152, 139, 15...",None,None
318_lin_6.tsp,25.38699984550476,1.406092711042618e7,"[217, 261, 273, 230, 268, 2...",None,None
318_lin_9.tsp,30.085999965667725,8.492572708720274e6,"[217, 273, 282, 257, 255, 2...",None,None
400_rd_3.tsp,24.335000038146973,1.0368583070082895e7,"[249, 178, 301, 397, 56, 31...",None,None
400_rd_6.tsp,32.18499994277954,4.2152088193163965e6,"[249, 400, 348, 167, 278, 1...",None,None
400_rd_9.tsp,17.75,3.0073065394304255e6,"[249, 148, 322, 250, 40, 18...",None,None
532_att_3.tsp,25.73300004005432,1.2817733073511729e8,"[12, 394, 62, 222, 176, 122...",None,None
532_att_6.tsp,41.43299984931946,5.1220716200235195e7,"[12, 14, 13, 50, 3, 58, 144...",None,None
532_att_9.tsp,55.18599987030029,2.3938442153305996e7,"[12, 13, 3, 118, 58, 35, 15...",None,None
